Año;Localidades;Proyecto;Categoria;Votos;Presupuesto;Ganador_bin
2022;Villa Martelli;Sociedad de Fomento y Cultural de Villa Martelli;Cultura;466;6000000;1
2022;Villa Martelli;Asociación Entidades de Bien Público de Villa Martelli;Cultura;360;390000;1
2022;Villa Martelli;Cruz Roja Argentina Filial Vicente López;Salud;339;4500000;0
2022;Villa Martelli;Escuela Primaria N° 11 (Provincial);Educación;303;2180000;0
2022;Villa Martelli;Reposición de arbolado;Medio Ambiente;293;1500000;1
2022;Villa Martelli;Cestos de basura;Medio Ambiente;283;2000000;0
2022;Villa Martelli;Integración de discapacidad para el Oeste de Villa Martelli;Cultura;232;996000;0
2022;Villa Martelli;Instalación de cruce de semáforos;Movilidad;226;2896000;0
2022;Villa Martelli;Prevención de consumo problemático de drogas;Salud;221;996000;0
2022;Villa Martelli;Centro de Jubilados Amigos de Padilla;Social;201;920000;0
2022;Villa Martelli;Jardín de Infantes N° 918 (Provincial);Educación;190;1950000;0
2022;Villa Martelli;Iglesia Jesús es Vida - Centro Abierto a la Comunidad;Social;181;6000000;0
2022;Villa Martelli;Centro de Fomento Cultural y Deportivo Padilla;Cultura;153;6000000;0
2022;Villa Martelli;Bebederos para mascotas;Espacio Público;142;6000000;0
2022;Villa Martelli;Club de Leones de Villa Martelli;Cultura;125;2500000;0
2022;Villa Martelli;Instalación de cruce de semáforos;Movilidad;117;4188000;0
2022;Villa Martelli;Club El Ciclón;Deporte;115;3600000;0
2022;Villa Martelli;Demarcación de sendas peatonales y cartelería;Cultura;114;704000;0
2022;Villa Martelli;Barrio Habana 2;Otros/Varios;93;6000000;0
2022;Villa Martelli;Sociedad de Fomento Barrio Gaynor;Social;88;6000000;0
2022;Villa Martelli;Reciclaje en el Barrio Necochea;Medio Ambiente;73;1016000;0
2022;Villa Martelli;Asociación Civil Educación y Trabajo El Mejor Camino (ex Fundación Camino);Educación;66;5000000;0
2022;Villa Martelli;Plazoleta A. Katán;Espacio Público;65;63800;1
2022;Villa Martelli;Barrio Habana 1;Otros/Varios;62;6000000;0
2022;Florida Oeste;Sociedad de Fomento Florida Sud;Social;844;6000000;1
2022;Florida Oeste;Club Colegiales;Deporte;796;6000000;1
2022;Florida Oeste;Seguridad en el barrio;Salud;756;6000000;1
2022;Florida Oeste;Club Unión Florida;Deporte;660;6000000;1
2022;Florida Oeste;Unión Vecinal Amigos de Florida Oeste;Social;483;6000000;1
2022;Florida Oeste;Voluntarias de la Maternidad Santa Rosa;Social;462;700000;1
2022;Florida Oeste;Orquesta Infanto-Juvenil de Vicente López;Cultura;393;6000000;0
2022;Florida Oeste;Sociedad de Fomento 9 de Julio;Social;363;3100000;0
2022;Florida Oeste;Escuela Primaria Nº 14 (Provincial);Educación;325;6000000;0
2022;Florida Oeste;Jardín Comunitario Las Hormiguitas;Educación;324;6000000;0
2022;Florida Oeste;La Casita de Cáritas (Barrio Las Flores);Social;319;6000000;0
2022;Florida Oeste;Escuela Primaria Nº 5 (Provincial);Educación;302;6000000;0
2022;Florida Oeste;Jardín de Infantes Nº 908 (Provincial);Educación;284;6000000;0
2022;Florida Oeste;Rampas en esquinas;Reparaciones/Obra;284;6000000;0
2022;Florida Oeste;Instalación de cruce de semáforos;Movilidad;262;5772400;0
2022;Florida Oeste;Salón Padre OSCARITO (Barrio Las Flores);Otros/Varios;243;6000000;0
