año;barrio;proyecto;categoria;votos;presupuesto;ganador_bin
2017;Villa Adelina;JARDÍN DE INFANTES Nº 907 - Cerramiento en entrepiso y provisión de equipamiento;Educación;185.0;1000000.0;0
2017;Villa Adelina;BIBLIOTECA INFANTIL SEMILLA DE CUENTOS - Alero sobre el deck, juegos y libros y baño químico (Plaza José Ingenieros);Educación;111.0;230000.0;1
2017;Villa Adelina;PLAZOLETA 9 DE JULIO Y PARANÁ - Puesta en valor;Espacio Público;12.0;1700000.0;0
2017;Florida Este;BOMBEROS VOLUNTARIOS DE VL - Compresor de aire para equipos de respiración autónoma;Otros/Varios;1717.0;1600000.0;1
2017;Florida Este;CLUB SOC Y DEP CASEROS - Realizar el techado de la azotea;Deporte;1360.0;3000000.0;1
2017;Florida Este;SOC. DE FOMENTO ARISTÓBULO DEL VALLE - Instalación de un ascensor;Otros/Varios;1193.0;1600000.0;1
2017;Florida Este;CRUZ ROJA ARGENTINA - Vehículo utilitario mediano con acoplado y equipamiento;Otros/Varios;923.0;725000.0;1
2017;Florida Este;ESCUELA SECUNDARIA Nº 8 - Refacciones en los baños y otros sectores del edificio;Educación;847.0;970000.0;1
2017;Florida Este;JARDÍN DE INFANTES Nº 911 - Modificación integral del Jardín (etapa 1);Educación;785.0;2000000.0;0
2017;Florida Este;CAMARAS DE VIGILANCIA - Conectadas al Centro de Monitoreo Municipal;Seguridad;757.0;208354.0;1
2017;Florida Este;ZOONOSIS - Equipo de anestesia inhalatoria;Otros/Varios;494.0;272500.0;1
2017;Florida Este;ESCUELA SECUNDARIA Nº 7 - Refacción de un baño, provisión de telón, iluminadores y equipos para el laboratorio de ciencias;Educación;344.0;477000.0;0
2017;Florida Este;ESCUELA SECUNDARIA Nº 4 - Reparar cubierta del gimnasio y remodelar vestuarios;Educación;298.0;1460000.0;0
2017;Florida Este;ARTE EN LA ESCUELA - Talleres artísticos en escuelas del barrio;Educación;245.0;280000.0;0
2017;Florida Este;"CTRO DE JUBILADOS ""Amigos de la Est. Florida Mitre"" - Ampliar el Salón de Usos Múltiples";Otros/Varios;202.0;630000.0;0
2017;Florida Este;ALIMENTACIÓN SALUDABLE - Talleres en escuelas del barrio referidos a buenos hábitos alimenticios;Educación;202.0;280000.0;0
2017;Florida Este;ASOC CIVIL MADRES DEL DOLOR - Obras de albañilería y pintura interior ;Otros/Varios;200.0;180000.0;0
2017;Florida Este;PUNTOS DE RECREACIÓN EN PLAZAS - Equipamiento deportivo (mesas de ping pong - aros de básquet);Espacio Público;192.0;300000.0;0
2017;Florida Este;SEMÁFOROS A DEMANDA - Valle Grande y Roca y en Rosetti y Roca;Espacio Público;161.0;748824.0;0
2017;Florida Este;"PLAZA HÉCTOR ""TOTO"" GONZÁLEZ - Puesta en valor";Espacio Público;97.0;6000000.0;0
2017;La Lucila;BOMBEROS VOLUNTARIOS DE VL - Equipo para rescate en altura, equipos de iluminación y cámara térmica;Seguridad;542.0;608558.0;1
2017;La Lucila;ESCUELA PRIMARIA Nº 16 - Reparación de baños y adecuación de un espacio para la Cooperadora de la Escuela.;Educación;339.0;2000000.0;1
2017;La Lucila;CÁMARAS DE VIGILANCIA - Conectadas al Centro de Monitoreo Municipal;Seguridad;187.0;208354.0;1
2017;La Lucila;PARQUE PASEO ENAMOUR - 2º etapa: senderos para peatones y para ciclistas;Espacio Público;182.0;1400000.0;1
2017;La Lucila;RAMPAS EN ESQUINAS - Zona entre Av. Libertador y vías del FFCC Mitre y en otras locaciones del barrio;Otros/Varios;114.0;1750000.0;1
2017;La Lucila;CESTOS DE RESIDUOS - En postes sobre Av. Libertador desde Paraná hasta Roma;Espacio Público;63.0;100000.0;0
2017;La Lucila;PUNTO CAN - Dispositivos con bolsas para deposiciones caninas sobre Rawson y sobre Paraná;Otros/Varios;60.0;160000.0;0
2017;Olivos;BOMBEROS VOLUNTARIOS DE VL - Compra de 10 equipos de respiración autónoma para intervenir en incendios;Otros/Varios;2832.0;1500000.0;1
2017;Olivos;ESCUELA PRIMARIA Nº 2 - Obras en baños, reparación de instalación eléctrica y equipamiento;Educación;1468.0;2000000.0;1
2017;Olivos;JARDÍN MATERNAL MUNICIPAL Nº 9 - Modificación de las puertas de las aulas, refacción del patio y construcción de una superficie semicubierta;Educación;1222.0;660000.0;1
2017;Olivos;FUNDACION HOSPICE SAN CAMILO - Trabajos de pintura interior y refacciones en la enfermería;Otros/Varios;1130.0;195000.0;1
2017;Olivos;GRUPO SCOUT NTRA SRA DE LA PAZ - Nivelar el patio y reparar la vereda;Espacio Público;1033.0;385000.0;1
2017;Olivos;CLUB DEFENSORES DE OLIVOS;Deporte;940.0;1955000.0;1
2017;Olivos;ESC DE EDUCACIÓN ESPECIAL Nº 502 - Equipamiento para educación física y música;Educación;915.0;876000.0;1
2017;Olivos;JARDÍN DE INFANTES MUNICIPAL Nº 6 - Construcción de un Salón de Usos Múltiples en la planta alta;Educación;859.0;3150000.0;0
2017;Olivos;CAMPO MUNICIPAL DE DEPORTES Nº 1 - Colocar cubierta y climatizar el natatorio de niños;Deporte;855.0;5800000.0;0
2017;Olivos;COLEGIO VIRGEN DEL CARMEN - Obras varias y equipamiento;Educación;811.0;2000000.0;0
2017;Olivos;ENTORNO ACCESIBLE - Rampas, demarcación y señalética en el entorno de la Escuela de Educación Especial Nº 502;Educación;742.0;530000.0;1
2017;Olivos;COMEDOR ESCOLAR AHITO - Reparaciones en el patio y en la escalera e instalación de un aire acondicionado frío-calor;Otros/Varios;571.0;429600.0;0
2017;Olivos;JARDIN DE INFANTES Nº 917 - Reparación del patio y colocación de piso antigolpes y juegos infantiles;Educación;535.0;362000.0;0
2017;Olivos;ANIMALES EN APUROS ¿CÓMO PUEDO AYUDAR? - Talleres en escuelas referidos a animales abandonados en la vía pública;Educación;495.0;350000.0;1
2017;Olivos;ESCUELA DE EDUCACIÓN ESTÉTICA Nº 1 - Colocar una silla elevadora para el acceso de personas con movilidad reducida;Educación;392.0;245000.0;0
2017;Olivos;ESCUELA PRIMARIA Nº 31 - Trabajos de pintura interior;Educación;388.0;1000000.0;0
2017;Olivos;JARDÍN MATERNAL MUNICIPAL Nº 2 - Equipamiento tecnológico;Educación;379.0;198750.0;0
2017;Olivos;RAMPAS EN ESQUINAS - Av. Libertador desde Roma hasta Villate;Otros/Varios;298.0;640000.0;0
2017;Olivos;"INSTITUTO DE MÚSICA MUNICIPAL ""JOSÉ HERNÁNDEZ"": REPARACIONES VARIAS Y EQUIPAMIENTO";Cultura;286.0;1923000.0;0
2017;Olivos;JARDÍN MATERNAL MUNICIPAL Nº 16 - Equipamiento tecnológico: proyector, pantalla, equipo de sonido con micrófonos, notebook;Educación;280.0;236000.0;0
2017;Olivos;GRUPO DE LA TERCERA EDAD ASUNCION DE LA VIRGEN - Equipo de sonido portátil;Otros/Varios;272.0;2500.0;1
2017;Olivos;"TALLER DE CINE ""EL MATE"" - Mobiliario para la sala de computación y dos computadoras para editar videos";Educación;207.0;401100.0;0
2017;Olivos;ALIMENTACIÓN SALUDABLE - Talleres en escuelas del barrio referidos a buenos hábitos en alimentación;Educación;204.0;350000.0;0
2017;Olivos;ARTE EN LA ESCUELA: talleres artísticos en escuelas del barrio;Educación;191.0;350000.0;0
2017;Olivos;SEMÁFORO VEHICULAR Y PEATONAL - En Carlos Gardel y Uzal;Espacio Público;183.0;592365.0;0
2017;Olivos;CUIDEMOS EL AGUA - Talleres teatrales en escuelas del barrio referidos al uso responsable del agua;Educación;167.0;350000.0;0
2017;Olivos;CESTOS DE RESIDUOS - Av. del Libertador desde Roma hasta Corrientes;Espacio Público;154.0;200000.0;0
2017;Olivos;TALLERES SOBRE EL MANEJO DEL STRESS - Dirigidos a docentes y alumnos de instituciones educativas del barrio;Cultura;133.0;74400.0;0
2017;Olivos;PLAZOLETA DEL SOLAR - Instalación de mesas y bancos de cemento para actividades varias;Espacio Público;56.0;100000.0;0
